campaign,kit_id,transect_location,acidification,tn_perc,tc_perc,visible_minerals,visible_iron_oxidation,visible_white_flakes,root_mass,tn_flag,tc_flag
EC1,K061,Wetland,FALSE,0.49,4.55,Quartz,Yes,No,Moderate,rep outlier,rep outlier
EC1,K023,Wetland,FALSE,1.47,15.22,None,Yes,No,Moderate roots,rep outlier,rep outlier
EC1,K004,Wetland,FALSE,0.72,7.21,None,Yes,No,Moderate roots present,rep outlier,rep outlier
EC1,K008,Wetland,FALSE,0.54,7,None,No,No,Few roots present,rep outlier,rep outlier
EC1,K039,Wetland,FALSE,2.62,34.52,None,No,No,Root dominated,rep outlier,rep outlier
EC1,K030,Wetland,FALSE,0.54,5.49,None,Yes,No,Few roots present,rep outlier,rep outlier
EC1,K036,Wetland,FALSE,1.57,14.71,None,Yes,No,Moderate roots present,rep outlier,rep outlier
EC1,K034,Wetland,FALSE,0.73,6.93,None,Yes,No,Few roots present,rep outlier,rep outlier
EC1,K033,Wetland,FALSE,0.37,5.17,None,No,No,Root dominated,rep outlier,rep outlier
EC1,K038,Wetland,FALSE,1.06,10.54,Mica,Yes,No,Moderate roots present,rep outlier,rep outlier
