kit_id,transect_location,collected,gwc_perc,loi_perc,bulk_density_g_cm3
KK029,Wetland,TRUE,NA,NA,NA
KK029,Transition,TRUE,NA,NA,NA
KK029,Upland,TRUE,NA,NA,NA
KK030,Sediment,TRUE,NA,NA,NA
KK030,Wetland,TRUE,NA,NA,NA
KK030,Upland,TRUE,NA,NA,NA
KK033,Sediment,TRUE,NA,NA,NA
KK033,Wetland,TRUE,NA,NA,NA
KK033,Upland,TRUE,NA,NA,NA
KK034,Sediment,TRUE,NA,NA,NA
KK034,Wetland,TRUE,NA,NA,NA
KK034,Transition,TRUE,NA,NA,NA
KK034,Upland,TRUE,NA,NA,NA
KK035,Sediment,TRUE,NA,NA,NA
KK035,Wetland,TRUE,NA,NA,NA
KK035,Transition,TRUE,NA,NA,NA
KK035,Upland,TRUE,NA,NA,NA
KK036,Sediment,TRUE,NA,NA,NA
KK036,Wetland,TRUE,NA,NA,NA
KK036,Transition,TRUE,NA,NA,NA
KK036,Upland,TRUE,NA,NA,NA
KK037,Sediment,TRUE,NA,NA,NA
KK037,Wetland,TRUE,NA,NA,NA
KK038,Sediment,TRUE,NA,NA,NA
KK038,Wetland,TRUE,NA,NA,NA
KK038,Upland,TRUE,NA,NA,NA
KK039,Sediment,TRUE,NA,NA,NA
KK039,Wetland,TRUE,NA,NA,NA
KK039,Transition,TRUE,NA,NA,NA
KK039,Upland,TRUE,NA,NA,NA
KK040,Sediment,TRUE,NA,NA,NA
KK040,Wetland,TRUE,NA,NA,NA
KK040,Transition,TRUE,NA,NA,NA
KK040,Upland,TRUE,NA,NA,NA
KK042,Sediment,TRUE,NA,NA,NA
KK042,Wetland,TRUE,NA,NA,NA
KK042,Transition,TRUE,NA,NA,NA
KK042,Upland,TRUE,NA,NA,NA
KK043,Sediment,TRUE,NA,NA,NA
KK044,Sediment,TRUE,NA,NA,NA
KK044,Wetland,TRUE,NA,NA,NA
KK044,Transition,TRUE,NA,NA,NA
KK044,Upland,TRUE,NA,NA,NA
KK045,Sediment,TRUE,NA,NA,NA
KK045,Wetland,TRUE,NA,NA,NA
KK045,Transition,TRUE,NA,NA,NA
KK045,Upland,TRUE,NA,NA,NA
KK046,Sediment,TRUE,NA,NA,NA
KK046,Wetland,TRUE,NA,NA,NA
KK046,Upland,TRUE,NA,NA,NA
KK047,Sediment,TRUE,NA,NA,NA
KK047,Wetland,TRUE,NA,NA,NA
KK047,Transition,TRUE,NA,NA,NA
KK047,Upland,TRUE,NA,NA,NA
KK048,Sediment,TRUE,NA,NA,NA
KK048,Wetland,TRUE,NA,NA,NA
KK048,Transition,TRUE,NA,NA,NA
KK048,Upland,TRUE,NA,NA,NA
KK049,Sediment,TRUE,NA,NA,NA
KK049,Wetland,TRUE,NA,NA,NA
KK049,Transition,TRUE,NA,NA,NA
KK049,Upland,TRUE,NA,NA,NA
KK050,Sediment,TRUE,NA,NA,NA
KK050,Wetland,TRUE,NA,NA,NA
KK050,Transition,TRUE,NA,NA,NA
KK050,Upland,TRUE,NA,NA,NA
KK051,Sediment,TRUE,NA,NA,NA
KK051,Wetland,TRUE,NA,NA,NA
KK051,Transition,TRUE,NA,NA,NA
KK051,Upland,TRUE,NA,NA,NA
KK052,Sediment,TRUE,NA,NA,NA
KK052,Wetland,TRUE,NA,NA,NA
KK052,Transition,TRUE,NA,NA,NA
KK052,Upland,TRUE,NA,NA,NA
KK053,Sediment,TRUE,NA,NA,NA
KK053,Wetland,TRUE,NA,NA,NA
KK053,Transition,TRUE,NA,NA,NA
KK053,Upland,TRUE,NA,NA,NA
KK054,Sediment,TRUE,NA,NA,NA
KK054,Wetland,TRUE,NA,NA,NA
KK054,Transition,TRUE,NA,NA,NA
KK054,Upland,TRUE,NA,NA,NA
KK055,Upland,TRUE,NA,NA,NA
KK056,Sediment,TRUE,NA,NA,NA
KK056,Wetland,TRUE,NA,NA,NA
KK056,Transition,TRUE,NA,NA,NA
KK056,Upland,TRUE,NA,NA,NA
KK058,Sediment,TRUE,NA,NA,NA
KK058,Wetland,TRUE,NA,NA,NA
KK058,Transition,TRUE,NA,NA,NA
KK058,Upland,TRUE,NA,NA,NA
KK059,Sediment,TRUE,NA,NA,NA
KK059,Wetland,TRUE,NA,NA,NA
KK059,Transition,TRUE,NA,NA,NA
KK059,Upland,TRUE,NA,NA,NA
KK060,Sediment,TRUE,NA,NA,NA
KK060,Wetland,TRUE,NA,NA,NA
KK061,Sediment,TRUE,NA,NA,NA
KK061,Wetland,TRUE,NA,NA,NA
KK061,Transition,TRUE,NA,NA,NA
KK061,Upland,TRUE,NA,NA,NA
KK062,Sediment,TRUE,NA,NA,NA
KK062,Wetland,TRUE,NA,NA,NA
KK062,Transition,TRUE,NA,NA,NA
KK062,Upland,TRUE,NA,NA,NA
