campaign,kit_id,transect_location,sample_type,collected,sample_method
EC1,K008,transition,soil,TRUE,hyprop
EC1,K008,upland,soil,TRUE,jar
EC1,K008,upland,soil,TRUE,bag
EC1,K008,upland,soil,TRUE,hyprop
EC1,K009,water,water,TRUE,vial_40ml
EC1,K009,water,water,TRUE,vial_15ml
EC1,K009,water,water,TRUE,bottle_1l
EC1,K009,water,water,TRUE,bottle_125ml
EC1,K009,water,water,TRUE,filter
EC1,K009,sediment,sediment,TRUE,jar
EC1,K009,sediment,sediment,TRUE,bag
EC1,K009,wetland,soil,TRUE,jar
EC1,K009,wetland,soil,TRUE,bag
EC1,K009,wetland,soil,TRUE,hyprop
EC1,K009,transition,soil,TRUE,jar
EC1,K009,transition,soil,TRUE,bag
EC1,K009,transition,soil,TRUE,hyprop
EC1,K009,upland,soil,TRUE,jar
EC1,K009,upland,soil,TRUE,bag
EC1,K009,upland,soil,TRUE,hyprop
EC1,K010,water,water,TRUE,vial_40ml
EC1,K010,water,water,TRUE,vial_15ml
EC1,K010,water,water,TRUE,bottle_1l
EC1,K010,water,water,TRUE,bottle_125ml
EC1,K010,water,water,TRUE,filter
EC1,K010,sediment,sediment,TRUE,jar
EC1,K010,sediment,sediment,TRUE,bag
EC1,K010,wetland,soil,TRUE,jar
EC1,K010,wetland,soil,TRUE,bag
EC1,K010,wetland,soil,TRUE,hyprop
EC1,K010,transition,soil,TRUE,jar
EC1,K010,transition,soil,TRUE,bag
EC1,K010,transition,soil,TRUE,hyprop
EC1,K010,upland,soil,TRUE,jar
EC1,K010,upland,soil,TRUE,bag
EC1,K010,upland,soil,TRUE,hyprop
EC1,K011,water,water,TRUE,vial_40ml
EC1,K011,water,water,TRUE,vial_15ml
EC1,K011,water,water,TRUE,bottle_1l
EC1,K011,water,water,TRUE,bottle_125ml
EC1,K011,water,water,TRUE,filter
EC1,K011,sediment,sediment,TRUE,jar
EC1,K011,sediment,sediment,TRUE,bag
EC1,K011,wetland,soil,TRUE,jar
EC1,K011,wetland,soil,TRUE,bag
EC1,K011,wetland,soil,TRUE,hyprop
EC1,K011,transition,soil,TRUE,jar
EC1,K011,transition,soil,TRUE,bag
EC1,K011,transition,soil,TRUE,hyprop
EC1,K011,upland,soil,TRUE,jar
EC1,K011,upland,soil,TRUE,bag
EC1,K011,upland,soil,TRUE,hyprop
EC1,K012,water,water,TRUE,vial_40ml
EC1,K012,water,water,TRUE,vial_15ml
EC1,K012,water,water,TRUE,bottle_1l
EC1,K012,water,water,TRUE,bottle_125ml
EC1,K012,water,water,TRUE,filter
EC1,K012,sediment,sediment,TRUE,jar
EC1,K012,sediment,sediment,TRUE,bag
EC1,K012,wetland,soil,TRUE,jar
EC1,K012,wetland,soil,TRUE,bag
EC1,K012,wetland,soil,TRUE,hyprop
EC1,K012,transition,soil,FALSE,jar
EC1,K012,transition,soil,FALSE,bag
EC1,K012,transition,soil,FALSE,hyprop
EC1,K012,upland,soil,FALSE,jar
EC1,K012,upland,soil,FALSE,bag
EC1,K012,upland,soil,FALSE,hyprop
EC1,K013,water,water,TRUE,vial_40ml
EC1,K013,water,water,TRUE,vial_15ml
EC1,K013,water,water,TRUE,bottle_1l
EC1,K013,water,water,TRUE,bottle_125ml
EC1,K013,water,water,TRUE,filter
EC1,K013,sediment,sediment,TRUE,jar
EC1,K013,sediment,sediment,TRUE,bag
EC1,K013,wetland,soil,TRUE,jar
EC1,K013,wetland,soil,TRUE,bag
EC1,K013,wetland,soil,TRUE,hyprop
EC1,K013,transition,soil,TRUE,jar
EC1,K013,transition,soil,TRUE,bag
EC1,K013,transition,soil,TRUE,hyprop
EC1,K013,upland,soil,TRUE,jar
EC1,K013,upland,soil,TRUE,bag
EC1,K013,upland,soil,TRUE,hyprop
EC1,K014,water,water,TRUE,vial_40ml
EC1,K014,water,water,TRUE,vial_15ml
EC1,K014,water,water,TRUE,bottle_1l
EC1,K014,water,water,TRUE,bottle_125ml
EC1,K014,water,water,TRUE,filter
EC1,K014,sediment,sediment,TRUE,jar
EC1,K014,sediment,sediment,TRUE,bag
EC1,K014,wetland,soil,FALSE,jar
EC1,K014,wetland,soil,FALSE,bag
EC1,K014,wetland,soil,FALSE,hyprop
EC1,K014,transition,soil,FALSE,jar
EC1,K014,transition,soil,FALSE,bag
EC1,K014,transition,soil,FALSE,hyprop
EC1,K014,upland,soil,FALSE,jar
EC1,K014,upland,soil,FALSE,bag
EC1,K014,upland,soil,FALSE,hyprop
EC1,K015,water,water,TRUE,vial_40ml
EC1,K015,water,water,TRUE,vial_15ml
EC1,K015,water,water,TRUE,bottle_1l
EC1,K015,water,water,TRUE,bottle_125ml
EC1,K015,water,water,TRUE,filter
EC1,K015,sediment,sediment,TRUE,jar
EC1,K015,sediment,sediment,TRUE,bag
EC1,K015,wetland,soil,TRUE,jar
EC1,K015,wetland,soil,TRUE,bag
EC1,K015,wetland,soil,TRUE,hyprop
EC1,K015,transition,soil,TRUE,jar
EC1,K015,transition,soil,TRUE,bag
EC1,K015,transition,soil,TRUE,hyprop
EC1,K015,upland,soil,TRUE,jar
EC1,K015,upland,soil,TRUE,bag
EC1,K015,upland,soil,TRUE,hyprop
EC1,K016,water,water,TRUE,vial_40ml
EC1,K016,water,water,TRUE,vial_15ml
EC1,K016,water,water,TRUE,bottle_1l
EC1,K016,water,water,TRUE,bottle_125ml
EC1,K016,water,water,TRUE,filter
EC1,K016,sediment,sediment,TRUE,jar
EC1,K016,sediment,sediment,TRUE,bag
EC1,K016,wetland,soil,TRUE,jar
EC1,K016,wetland,soil,TRUE,bag
EC1,K016,wetland,soil,TRUE,hyprop
EC1,K016,transition,soil,TRUE,jar
EC1,K016,transition,soil,TRUE,bag
EC1,K016,transition,soil,TRUE,hyprop
EC1,K016,upland,soil,TRUE,jar
EC1,K016,upland,soil,TRUE,bag
EC1,K016,upland,soil,TRUE,hyprop
EC1,K017,water,water,TRUE,vial_40ml
EC1,K017,water,water,TRUE,vial_15ml
EC1,K017,water,water,TRUE,bottle_1l
EC1,K017,water,water,TRUE,bottle_125ml
EC1,K017,water,water,TRUE,filter
EC1,K017,sediment,sediment,TRUE,jar
EC1,K017,sediment,sediment,TRUE,bag
EC1,K017,wetland,soil,TRUE,jar
EC1,K017,wetland,soil,TRUE,bag
EC1,K017,wetland,soil,TRUE,hyprop
EC1,K017,transition,soil,TRUE,jar
EC1,K017,transition,soil,TRUE,bag
EC1,K017,transition,soil,TRUE,hyprop
EC1,K017,upland,soil,TRUE,jar
EC1,K017,upland,soil,TRUE,bag
EC1,K017,upland,soil,TRUE,hyprop
EC1,K018,water,water,TRUE,vial_40ml
EC1,K018,water,water,TRUE,vial_15ml
EC1,K018,water,water,TRUE,bottle_1l
EC1,K018,water,water,TRUE,bottle_125ml
EC1,K018,water,water,TRUE,filter
EC1,K018,sediment,sediment,TRUE,jar
EC1,K018,sediment,sediment,TRUE,bag
EC1,K018,wetland,soil,TRUE,jar
EC1,K018,wetland,soil,TRUE,bag
EC1,K018,wetland,soil,TRUE,hyprop
EC1,K018,transition,soil,TRUE,jar
EC1,K018,transition,soil,TRUE,bag
EC1,K018,transition,soil,TRUE,hyprop
EC1,K018,upland,soil,TRUE,jar
EC1,K018,upland,soil,TRUE,bag
EC1,K018,upland,soil,TRUE,hyprop
EC1,K019,water,water,TRUE,vial_40ml
EC1,K019,water,water,TRUE,vial_15ml
EC1,K019,water,water,TRUE,bottle_1l
EC1,K019,water,water,TRUE,bottle_125ml
EC1,K019,water,water,TRUE,filter
EC1,K019,sediment,sediment,TRUE,jar
EC1,K019,sediment,sediment,TRUE,bag
EC1,K019,wetland,soil,TRUE,jar
EC1,K019,wetland,soil,TRUE,bag
EC1,K019,wetland,soil,TRUE,hyprop
EC1,K019,transition,soil,TRUE,jar
EC1,K019,transition,soil,TRUE,bag
EC1,K019,transition,soil,TRUE,hyprop
EC1,K019,upland,soil,TRUE,jar
EC1,K019,upland,soil,TRUE,bag
EC1,K019,upland,soil,TRUE,hyprop
EC1,K020,water,water,TRUE,vial_40ml
EC1,K020,water,water,TRUE,vial_15ml
EC1,K020,water,water,TRUE,bottle_1l
EC1,K020,water,water,TRUE,bottle_125ml
EC1,K020,water,water,TRUE,filter
EC1,K020,sediment,sediment,FALSE,jar
EC1,K020,sediment,sediment,FALSE,bag
EC1,K020,wetland,soil,FALSE,jar
EC1,K020,wetland,soil,FALSE,bag
EC1,K020,wetland,soil,FALSE,hyprop
EC1,K020,transition,soil,FALSE,jar
EC1,K020,transition,soil,FALSE,bag
EC1,K020,transition,soil,FALSE,hyprop
EC1,K020,upland,soil,TRUE,jar
EC1,K020,upland,soil,TRUE,bag
EC1,K020,upland,soil,TRUE,hyprop
EC1,K021,water,water,TRUE,vial_40ml
EC1,K021,water,water,TRUE,vial_15ml
EC1,K021,water,water,TRUE,bottle_1l
EC1,K021,water,water,TRUE,bottle_125ml
EC1,K021,water,water,TRUE,filter
EC1,K021,sediment,sediment,TRUE,jar
EC1,K021,sediment,sediment,TRUE,bag
EC1,K021,wetland,soil,TRUE,jar
EC1,K021,wetland,soil,TRUE,bag
EC1,K021,wetland,soil,TRUE,hyprop
EC1,K021,transition,soil,TRUE,jar
EC1,K021,transition,soil,TRUE,bag
EC1,K021,transition,soil,TRUE,hyprop
EC1,K021,upland,soil,TRUE,jar
EC1,K021,upland,soil,TRUE,bag
EC1,K021,upland,soil,TRUE,hyprop
EC1,K022,water,water,TRUE,vial_40ml
EC1,K022,water,water,TRUE,vial_15ml
EC1,K022,water,water,TRUE,bottle_1l
EC1,K022,water,water,TRUE,bottle_125ml
EC1,K022,water,water,TRUE,filter
EC1,K022,sediment,sediment,TRUE,jar
EC1,K022,sediment,sediment,TRUE,bag
EC1,K022,wetland,soil,TRUE,jar
EC1,K022,wetland,soil,TRUE,bag
EC1,K022,wetland,soil,TRUE,hyprop
EC1,K022,transition,soil,TRUE,jar
EC1,K022,transition,soil,TRUE,bag
EC1,K022,transition,soil,TRUE,hyprop
EC1,K022,upland,soil,TRUE,jar
EC1,K022,upland,soil,TRUE,bag
EC1,K022,upland,soil,TRUE,hyprop
EC1,K023,water,water,TRUE,vial_40ml
EC1,K023,water,water,TRUE,vial_15ml
EC1,K023,water,water,TRUE,bottle_1l
EC1,K023,water,water,TRUE,bottle_125ml
EC1,K023,water,water,TRUE,filter
EC1,K023,sediment,sediment,TRUE,jar
EC1,K023,sediment,sediment,TRUE,bag
EC1,K023,wetland,soil,TRUE,jar
EC1,K023,wetland,soil,TRUE,bag
EC1,K023,wetland,soil,TRUE,hyprop
EC1,K023,transition,soil,FALSE,jar
EC1,K023,transition,soil,FALSE,bag
EC1,K023,transition,soil,FALSE,hyprop
EC1,K023,upland,soil,TRUE,jar
EC1,K023,upland,soil,TRUE,bag
EC1,K023,upland,soil,TRUE,hyprop
EC1,K024,water,water,TRUE,vial_40ml
EC1,K024,water,water,TRUE,vial_15ml
EC1,K024,water,water,TRUE,bottle_1l
EC1,K024,water,water,TRUE,bottle_125ml
EC1,K024,water,water,TRUE,filter
EC1,K024,sediment,sediment,TRUE,jar
EC1,K024,sediment,sediment,TRUE,bag
EC1,K024,wetland,soil,TRUE,jar
EC1,K024,wetland,soil,TRUE,bag
EC1,K024,wetland,soil,TRUE,hyprop
EC1,K024,transition,soil,TRUE,jar
EC1,K024,transition,soil,TRUE,bag
EC1,K024,transition,soil,TRUE,hyprop
EC1,K024,upland,soil,TRUE,jar
EC1,K024,upland,soil,TRUE,bag
EC1,K024,upland,soil,TRUE,hyprop
EC1,K025,water,water,TRUE,vial_40ml
EC1,K025,water,water,TRUE,vial_15ml
EC1,K025,water,water,TRUE,bottle_1l
EC1,K025,water,water,TRUE,bottle_125ml
EC1,K025,water,water,TRUE,filter
EC1,K025,sediment,sediment,TRUE,jar
EC1,K025,sediment,sediment,TRUE,bag
EC1,K025,wetland,soil,TRUE,jar
EC1,K025,wetland,soil,TRUE,bag
EC1,K025,wetland,soil,TRUE,hyprop
EC1,K025,transition,soil,TRUE,jar
EC1,K025,transition,soil,TRUE,bag
EC1,K025,transition,soil,TRUE,hyprop
EC1,K025,upland,soil,TRUE,jar
EC1,K025,upland,soil,TRUE,bag
EC1,K025,upland,soil,TRUE,hyprop
EC1,K026,water,water,TRUE,vial_40ml
EC1,K026,water,water,TRUE,vial_15ml
EC1,K026,water,water,TRUE,bottle_1l
EC1,K026,water,water,TRUE,bottle_125ml
EC1,K026,water,water,TRUE,filter
EC1,K026,sediment,sediment,TRUE,jar
EC1,K026,sediment,sediment,TRUE,bag
EC1,K026,wetland,soil,TRUE,jar
EC1,K026,wetland,soil,TRUE,bag
EC1,K026,wetland,soil,TRUE,hyprop
EC1,K026,transition,soil,TRUE,jar
EC1,K026,transition,soil,TRUE,bag
EC1,K026,transition,soil,TRUE,hyprop
EC1,K026,upland,soil,TRUE,jar
EC1,K026,upland,soil,TRUE,bag
EC1,K026,upland,soil,TRUE,hyprop
EC1,K027,water,water,TRUE,vial_40ml
EC1,K027,water,water,TRUE,vial_15ml
EC1,K027,water,water,TRUE,bottle_1l
EC1,K027,water,water,TRUE,bottle_125ml
EC1,K027,water,water,TRUE,filter
EC1,K027,sediment,sediment,TRUE,jar
EC1,K027,sediment,sediment,TRUE,bag
EC1,K027,wetland,soil,TRUE,jar
EC1,K027,wetland,soil,TRUE,bag
EC1,K027,wetland,soil,TRUE,hyprop
EC1,K027,transition,soil,TRUE,jar
EC1,K027,transition,soil,TRUE,bag
EC1,K027,transition,soil,TRUE,hyprop
EC1,K027,upland,soil,TRUE,jar
EC1,K027,upland,soil,TRUE,bag
EC1,K027,upland,soil,TRUE,hyprop
EC1,K029,water,water,TRUE,vial_40ml
EC1,K029,water,water,TRUE,vial_15ml
EC1,K029,water,water,TRUE,bottle_1l
EC1,K029,water,water,TRUE,bottle_125ml
EC1,K029,water,water,TRUE,filter
EC1,K029,sediment,sediment,TRUE,jar
EC1,K029,sediment,sediment,TRUE,bag
EC1,K029,wetland,soil,TRUE,jar
EC1,K029,wetland,soil,TRUE,bag
EC1,K029,wetland,soil,TRUE,hyprop
EC1,K029,transition,soil,TRUE,jar
EC1,K029,transition,soil,TRUE,bag
EC1,K029,transition,soil,TRUE,hyprop
EC1,K029,upland,soil,TRUE,jar
EC1,K029,upland,soil,TRUE,bag
EC1,K029,upland,soil,TRUE,hyprop
EC1,K030,water,water,TRUE,vial_40ml
EC1,K030,water,water,TRUE,vial_15ml
EC1,K030,water,water,TRUE,bottle_1l
EC1,K030,water,water,TRUE,bottle_125ml
EC1,K030,water,water,TRUE,filter
EC1,K030,sediment,sediment,TRUE,jar
EC1,K030,sediment,sediment,TRUE,bag
EC1,K030,wetland,soil,TRUE,jar
EC1,K030,wetland,soil,TRUE,bag
EC1,K030,wetland,soil,TRUE,hyprop
EC1,K030,transition,soil,FALSE,jar
EC1,K030,transition,soil,FALSE,bag
EC1,K030,transition,soil,FALSE,hyprop
EC1,K030,upland,soil,TRUE,jar
EC1,K030,upland,soil,TRUE,bag
EC1,K030,upland,soil,TRUE,hyprop
EC1,K033,water,water,TRUE,vial_40ml
EC1,K033,water,water,TRUE,vial_15ml
EC1,K033,water,water,TRUE,bottle_1l
EC1,K033,water,water,TRUE,bottle_125ml
EC1,K033,water,water,TRUE,filter
EC1,K033,sediment,sediment,TRUE,jar
EC1,K033,sediment,sediment,TRUE,bag
EC1,K033,wetland,soil,TRUE,jar
EC1,K033,wetland,soil,TRUE,bag
EC1,K033,wetland,soil,TRUE,hyprop
EC1,K033,transition,soil,FALSE,jar
EC1,K033,transition,soil,FALSE,bag
EC1,K033,transition,soil,FALSE,hyprop
EC1,K033,upland,soil,TRUE,jar
EC1,K033,upland,soil,TRUE,bag
EC1,K033,upland,soil,TRUE,hyprop
EC1,K034,water,water,TRUE,vial_40ml
EC1,K034,water,water,TRUE,vial_15ml
EC1,K034,water,water,TRUE,bottle_1l
EC1,K034,water,water,TRUE,bottle_125ml
EC1,K034,water,water,TRUE,filter
EC1,K034,sediment,sediment,TRUE,jar
EC1,K034,sediment,sediment,TRUE,bag
EC1,K034,wetland,soil,TRUE,jar
EC1,K034,wetland,soil,TRUE,bag
EC1,K034,wetland,soil,TRUE,hyprop
EC1,K034,transition,soil,TRUE,jar
EC1,K034,transition,soil,TRUE,bag
EC1,K034,transition,soil,TRUE,hyprop
EC1,K034,upland,soil,TRUE,jar
EC1,K034,upland,soil,TRUE,bag
EC1,K034,upland,soil,TRUE,hyprop
EC1,K035,water,water,TRUE,vial_40ml
EC1,K035,water,water,TRUE,vial_15ml
EC1,K035,water,water,TRUE,bottle_1l
EC1,K035,water,water,TRUE,bottle_125ml
EC1,K035,water,water,TRUE,filter
EC1,K035,sediment,sediment,TRUE,jar
EC1,K035,sediment,sediment,TRUE,bag
EC1,K035,wetland,soil,TRUE,jar
EC1,K035,wetland,soil,TRUE,bag
EC1,K035,wetland,soil,TRUE,hyprop
EC1,K035,transition,soil,TRUE,jar
EC1,K035,transition,soil,TRUE,bag
EC1,K035,transition,soil,TRUE,hyprop
EC1,K035,upland,soil,TRUE,jar
EC1,K035,upland,soil,TRUE,bag
EC1,K035,upland,soil,TRUE,hyprop
EC1,K036,water,water,TRUE,vial_40ml
EC1,K036,water,water,TRUE,vial_15ml
EC1,K036,water,water,TRUE,bottle_1l
EC1,K036,water,water,TRUE,bottle_125ml
EC1,K036,water,water,TRUE,filter
EC1,K036,sediment,sediment,TRUE,jar
EC1,K036,sediment,sediment,TRUE,bag
EC1,K036,wetland,soil,TRUE,jar
EC1,K036,wetland,soil,TRUE,bag
EC1,K036,wetland,soil,TRUE,hyprop
EC1,K036,transition,soil,TRUE,jar
EC1,K036,transition,soil,TRUE,bag
EC1,K036,transition,soil,TRUE,hyprop
EC1,K036,upland,soil,TRUE,jar
EC1,K036,upland,soil,TRUE,bag
EC1,K036,upland,soil,TRUE,hyprop
EC1,K037,water,water,TRUE,vial_40ml
EC1,K037,water,water,TRUE,vial_15ml
EC1,K037,water,water,TRUE,bottle_1l
EC1,K037,water,water,TRUE,bottle_125ml
EC1,K037,water,water,TRUE,filter
EC1,K037,sediment,sediment,TRUE,jar
EC1,K037,sediment,sediment,TRUE,bag
EC1,K037,wetland,soil,TRUE,jar
EC1,K037,wetland,soil,TRUE,bag
EC1,K037,wetland,soil,TRUE,hyprop
EC1,K037,transition,soil,FALSE,jar
EC1,K037,transition,soil,FALSE,bag
EC1,K037,transition,soil,FALSE,hyprop
EC1,K037,upland,soil,FALSE,jar
EC1,K037,upland,soil,FALSE,bag
EC1,K037,upland,soil,FALSE,hyprop
EC1,K038,water,water,TRUE,vial_40ml
EC1,K038,water,water,TRUE,vial_15ml
EC1,K038,water,water,TRUE,bottle_1l
EC1,K038,water,water,TRUE,bottle_125ml
EC1,K038,water,water,TRUE,filter
EC1,K038,sediment,sediment,TRUE,jar
EC1,K038,sediment,sediment,TRUE,bag
EC1,K038,wetland,soil,TRUE,jar
EC1,K038,wetland,soil,TRUE,bag
EC1,K038,wetland,soil,TRUE,hyprop
EC1,K038,transition,soil,FALSE,jar
EC1,K038,transition,soil,FALSE,bag
EC1,K038,transition,soil,FALSE,hyprop
EC1,K038,upland,soil,TRUE,jar
EC1,K038,upland,soil,TRUE,bag
EC1,K038,upland,soil,TRUE,hyprop
EC1,K039,water,water,TRUE,vial_40ml
EC1,K039,water,water,TRUE,vial_15ml
EC1,K039,water,water,TRUE,bottle_1l
EC1,K039,water,water,TRUE,bottle_125ml
EC1,K039,water,water,TRUE,filter
EC1,K039,sediment,sediment,TRUE,jar
EC1,K039,sediment,sediment,TRUE,bag
EC1,K039,wetland,soil,TRUE,jar
EC1,K039,wetland,soil,TRUE,bag
EC1,K039,wetland,soil,TRUE,hyprop
EC1,K039,transition,soil,TRUE,jar
EC1,K039,transition,soil,TRUE,bag
EC1,K039,transition,soil,TRUE,hyprop
EC1,K039,upland,soil,TRUE,jar
EC1,K039,upland,soil,TRUE,bag
EC1,K039,upland,soil,TRUE,hyprop
EC1,K040,water,water,TRUE,vial_40ml
EC1,K040,water,water,TRUE,vial_15ml
EC1,K040,water,water,TRUE,bottle_1l
EC1,K040,water,water,TRUE,bottle_125ml
EC1,K040,water,water,TRUE,filter
EC1,K040,sediment,sediment,TRUE,jar
EC1,K040,sediment,sediment,TRUE,bag
EC1,K040,wetland,soil,TRUE,jar
EC1,K040,wetland,soil,TRUE,bag
EC1,K040,wetland,soil,TRUE,hyprop
EC1,K040,transition,soil,TRUE,jar
EC1,K040,transition,soil,TRUE,bag
EC1,K040,transition,soil,TRUE,hyprop
EC1,K040,upland,soil,TRUE,jar
EC1,K040,upland,soil,TRUE,bag
EC1,K040,upland,soil,TRUE,hyprop
EC1,K041,water,water,TRUE,vial_40ml
EC1,K041,water,water,TRUE,vial_15ml
EC1,K041,water,water,TRUE,bottle_1l
EC1,K041,water,water,TRUE,bottle_125ml
EC1,K041,water,water,TRUE,filter
EC1,K041,sediment,sediment,TRUE,jar
EC1,K041,sediment,sediment,TRUE,bag
EC1,K041,wetland,soil,TRUE,jar
EC1,K041,wetland,soil,TRUE,bag
EC1,K041,wetland,soil,TRUE,hyprop
EC1,K041,transition,soil,TRUE,jar
EC1,K041,transition,soil,TRUE,bag
EC1,K041,transition,soil,TRUE,hyprop
EC1,K041,upland,soil,TRUE,jar
EC1,K041,upland,soil,TRUE,bag
EC1,K041,upland,soil,TRUE,hyprop
EC1,K042,water,water,TRUE,vial_40ml
EC1,K042,water,water,TRUE,vial_15ml
EC1,K042,water,water,TRUE,bottle_1l
EC1,K042,water,water,TRUE,bottle_125ml
EC1,K042,water,water,TRUE,filter
EC1,K042,sediment,sediment,TRUE,jar
EC1,K042,sediment,sediment,TRUE,bag
EC1,K042,wetland,soil,TRUE,jar
EC1,K042,wetland,soil,TRUE,bag
EC1,K042,wetland,soil,TRUE,hyprop
EC1,K042,transition,soil,TRUE,jar
EC1,K042,transition,soil,TRUE,bag
EC1,K042,transition,soil,TRUE,hyprop
EC1,K042,upland,soil,TRUE,jar
EC1,K042,upland,soil,TRUE,bag
EC1,K042,upland,soil,TRUE,hyprop
EC1,K043,water,water,TRUE,vial_40ml
EC1,K043,water,water,TRUE,vial_15ml
EC1,K043,water,water,TRUE,bottle_1l
EC1,K043,water,water,TRUE,bottle_125ml
EC1,K043,water,water,TRUE,filter
EC1,K043,sediment,sediment,TRUE,jar
EC1,K043,sediment,sediment,TRUE,bag
EC1,K043,wetland,soil,FALSE,jar
EC1,K043,wetland,soil,FALSE,bag
EC1,K043,wetland,soil,FALSE,hyprop
EC1,K043,transition,soil,FALSE,jar
EC1,K043,transition,soil,FALSE,bag
EC1,K043,transition,soil,FALSE,hyprop
EC1,K043,upland,soil,FALSE,jar
EC1,K043,upland,soil,FALSE,bag
EC1,K043,upland,soil,FALSE,hyprop
EC1,K044,water,water,TRUE,vial_40ml
EC1,K044,water,water,TRUE,vial_15ml
EC1,K044,water,water,TRUE,bottle_1l
EC1,K044,water,water,TRUE,bottle_125ml
EC1,K044,water,water,TRUE,filter
EC1,K044,sediment,sediment,TRUE,jar
EC1,K044,sediment,sediment,TRUE,bag
EC1,K044,wetland,soil,TRUE,jar
EC1,K044,wetland,soil,TRUE,bag
EC1,K044,wetland,soil,TRUE,hyprop
EC1,K044,transition,soil,TRUE,jar
EC1,K044,transition,soil,TRUE,bag
EC1,K044,transition,soil,TRUE,hyprop
EC1,K044,upland,soil,TRUE,jar
EC1,K044,upland,soil,TRUE,bag
EC1,K044,upland,soil,TRUE,hyprop
EC1,K045,water,water,TRUE,vial_40ml
EC1,K045,water,water,TRUE,vial_15ml
EC1,K045,water,water,TRUE,bottle_1l
EC1,K045,water,water,TRUE,bottle_125ml
EC1,K045,water,water,TRUE,filter
EC1,K045,sediment,sediment,TRUE,jar
EC1,K045,sediment,sediment,TRUE,bag
EC1,K045,wetland,soil,TRUE,jar
EC1,K045,wetland,soil,TRUE,bag
EC1,K045,wetland,soil,TRUE,hyprop
EC1,K045,transition,soil,TRUE,jar
EC1,K045,transition,soil,TRUE,bag
EC1,K045,transition,soil,TRUE,hyprop
EC1,K045,upland,soil,TRUE,jar
EC1,K045,upland,soil,TRUE,bag
EC1,K045,upland,soil,TRUE,hyprop
EC1,K046,water,water,TRUE,vial_40ml
EC1,K046,water,water,TRUE,vial_15ml
EC1,K046,water,water,TRUE,bottle_1l
EC1,K046,water,water,TRUE,bottle_125ml
EC1,K046,water,water,TRUE,filter
EC1,K046,sediment,sediment,TRUE,jar
EC1,K046,sediment,sediment,TRUE,bag
EC1,K046,wetland,soil,TRUE,jar
EC1,K046,wetland,soil,TRUE,bag
EC1,K046,wetland,soil,TRUE,hyprop
EC1,K046,transition,soil,FALSE,jar
EC1,K046,transition,soil,FALSE,bag
EC1,K046,transition,soil,FALSE,hyprop
EC1,K046,upland,soil,TRUE,jar
EC1,K046,upland,soil,TRUE,bag
EC1,K046,upland,soil,TRUE,hyprop
EC1,K047,water,water,TRUE,vial_40ml
EC1,K047,water,water,TRUE,vial_15ml
