campaign,kit_id,transect_location,Sample Description,Abs 250nm,Abs 254nm,Abs 281nm,Abs 350nm,Abs 365nm,Abs 412nm,Abs 440nm,A250/A365,SUVA254,S275-295,r2 of the fit,S350-400,r2 of the fit,Sr,C,A,T,B,M,FDOM,FI,HIX,FRESH,BIX
EC1,K041,water,K041,0.031275611,0.030498939,0.030498939,0.00690662,0.005410993,0.002358222,0.001517944,5.780013336,3.049893884,0.016536539,0.999467924,0.01714421,0.999766599,0.96455537,0.139907566,0.222871226,0.058935705,0.039510958,0.138412285,0.087779946,1.546345086,0.882826758,0.69566094,0.701135852
EC1,K042,water,K042,0.105279175,0.104313266,0.104313266,0.067763651,0.061419185,0.037506973,0.027725314,1.714108935,10.43132662,0.004414895,0.992462863,0.009164043,0.990939046,0.481762758,0.328622519,0.514668013,0.223804721,0.560954768,0.331378182,0.203808271,1.767998778,0.778987763,0.88884661,0.914284736
EC1,K043,water,K043,0.023494982,0.022873227,0.022873227,0.004900318,0.00384018,0.001774496,0.001239026,6.118197843,2.287322738,0.017160734,0.998717839,0.01666854,0.999501869,1.029528299,0.111711354,0.17703254,0.061043409,0.04057898,0.114314455,0.067236399,1.549879356,0.805313876,0.792067872,0.809744702
EC1,K044,water,K044,0.02757567,0.026832933,0.026832933,0.005978664,0.004657342,0.001997359,0.001273265,5.920902627,2.683293298,0.016942207,0.999543445,0.017415324,0.999818157,0.972833317,0.135323419,0.216847097,0.056644037,0.034207352,0.133202442,0.087010937,1.571523774,0.887181388,0.700763065,0.709348517
EC1,K045,water,K045,0.061652804,0.060347477,0.060347477,0.019906594,0.015992085,0.007755422,0.005518663,3.85520731,6.034747723,0.011407778,0.999030601,0.015393413,0.999718926,0.741081745,0.178604373,0.254316237,0.047053598,0.02766157,0.150031103,0.118067072,1.46332194,0.922689427,0.522036266,0.530208796
EC1,K046,water,K046,0.043942822,0.042846375,0.042846375,0.012937369,0.010312221,0.004880739,0.00332946,4.261237403,4.284637549,0.012492456,0.999373278,0.015741601,0.99981696,0.793594962,0.206791397,0.315546368,0.077211828,0.048757574,0.197865152,0.138539413,1.584626445,0.894314846,0.666830318,0.670563533
EC1,K048,water,K048,0.035852408,0.034962629,0.034962629,0.010290229,0.008165025,0.003500506,0.002211964,4.390973509,3.496262856,0.01311528,0.998990764,0.01727366,0.99900753,0.759264711,0.236751857,0.368971498,0.152791051,0.125040846,0.239161057,0.143287831,1.760201481,0.817691494,0.830052525,0.855277911
EC1,K049,water,K049,0.027155501,0.0264915,0.0264915,0.005082761,0.003906036,0.001589439,0.001017575,6.952189154,2.649149955,0.019688577,0.999646301,0.01864144,0.999745683,1.056172528,0.113151553,0.18437324,0.055869085,0.039222401,0.121050256,0.063752221,1.548687596,0.858948671,0.679409494,0.690153357
EC1,K050,water,K050,0.0474431,0.046279224,0.046279224,0.013991296,0.011072854,0.004749232,0.003080348,4.284631616,4.627922436,0.012429955,0.999414757,0.017444669,0.999114583,0.712536049,0.19259627,0.273241173,0.057585005,0.035177854,0.175637046,0.121848241,1.589710014,0.899111989,0.600247431,0.603739513
EC1,K051,water,K051,0.032847898,0.032057395,0.032057395,0.007317254,0.005665448,0.002368887,0.001502311,5.797934517,3.20573951,0.016321042,0.999821375,0.01795922,0.999755424,0.908783436,0.167090056,0.257389551,0.063101499,0.038260474,0.16131271,0.108645917,1.576209834,0.896808331,0.663524552,0.670139892
EC1,K052,water,K052,0.032496604,0.031628611,0.031628611,0.007068583,0.005534858,0.002424513,0.001551983,5.871262684,3.162861052,0.016866705,0.999584531,0.016979004,0.999833743,0.993386023,0.138575543,0.228696743,0.058269682,0.038376828,0.138571105,0.085348251,1.53839579,0.885048211,0.700921323,0.707968309
EC1,K054,water,K054,0.043255752,0.04224991,0.04224991,0.011439981,0.009024322,0.004047105,0.002681919,4.793241079,4.224991028,0.014285661,0.999490959,0.016518379,0.999847756,0.864834315,0.2207161,0.345162005,0.064539343,0.035559363,0.204254366,0.156982527,1.557739524,0.923344115,0.615049183,0.616974065
EC1,K055,water,K055,0.035660947,0.034829988,0.034829988,0.010297006,0.008374814,0.004359252,0.003139353,4.258118246,3.482998754,0.013498497,0.999261416,0.01361881,0.999789606,0.991165626,0.187151937,0.282425052,0.078741104,0.04827533,0.181097238,0.116506576,1.623945971,0.873369466,0.698517664,0.705951752
EC1,K056,water,K056,0.041514284,0.039550597,0.039550597,0.01077883,0.008850285,0.004904719,0.003872437,4.690728467,3.955059707,0.014226796,0.99952554,0.012866796,0.999631351,1.105698414,0.177508877,0.27542529,0.063627592,0.04032564,0.170165046,0.1194733,1.548165366,0.900113532,0.661674725,0.665166783
EC1,K058,water,K058,0.036983564,0.03603293,0.03603293,0.009614213,0.007797415,0.003957569,0.00303589,4.743054193,3.603292983,0.014664464,0.999601413,0.014494535,0.999670418,1.011723664,0.183681452,0.28878673,0.06203274,0.033096555,0.178953797,0.119063234,1.557846078,0.908803183,0.670605659,0.672744735
EC1,K059,water,K059,0.031218861,0.030423905,0.030423905,0.006599073,0.00515337,0.00222444,0.001416931,6.057950836,3.042390524,0.017177646,0.999559822,0.017328833,0.999801718,0.991275395,0.133810879,0.217897191,0.053691243,0.030348147,0.136710086,0.079904858,1.523065856,0.88594834,0.707750433,0.716336338
EC1,K060,water,K060,0.030856536,0.030010197,0.030010197,0.006910528,0.005392933,0.002384138,0.00158784,5.721661144,3.00101969,0.015840111,0.999005048,0.017215905,0.99977438,0.920085848,0.158966125,0.254622754,0.072322053,0.042997395,0.159878345,0.098488186,1.556596766,0.874198246,0.752800486,0.767285071
EC1,K061,water,K061,0.03905994,0.038069876,0.038069876,0.010023812,0.007894048,0.003617402,0.002468133,4.948024338,3.806987576,0.014436163,0.999718402,0.016327919,0.999912727,0.8841398,0.232928382,0.356391816,0.07187026,0.039011889,0.221557674,0.157436953,1.607071305,0.916435953,0.663863762,0.66747291
EC1,K062,water,K062,0.032311258,0.031509464,0.031509464,0.006682369,0.005115189,0.002065603,0.001296138,6.316728117,3.150946437,0.017082049,0.999592471,0.01869327,0.999785081,0.913807452,0.195804424,0.299622257,0.077103049,0.046437477,0.192684723,0.122183869,1.631749879,0.887821283,0.707515962,0.716644498
