"campaign","kit_id","transect_location","date_run","fluoride_ppm","fluoride_flag","chloride_ppm","chloride_flag","sulfate_ppm","sulfate_flag","bromide_ppm","bromide_flag","phosphate_ppm","phosphate_flag","nitrite_ppm","nitrite_flag","nitrate_ppm","nitrate_flag","sodium_ppm","sodium_flag","ammonium_ppm","ammonium_flag","potassium_ppm","potassium_flag","magnesium_ppm","magnesium_flag","calcium_ppm","calcium_flag"
"EC1","K035","Water",2022-02-11,NA,NA,6271.163,"above calibration",629.325,NA,NA,NA,NA,NA,2.703,NA,NA,NA,2600.063,NA,NA,NA,75.122,NA,302.25,NA,55.898,NA
"EC1","K051","Water",2022-02-11,NA,NA,8459.335,"above calibration",807.043,NA,NA,NA,NA,NA,3.239,NA,NA,NA,3409.96,NA,NA,NA,105.107,NA,445.017,NA,78.876,NA
"EC1","K059","Water",2022-02-11,NA,NA,8812.139,"above calibration",887.828,NA,NA,NA,NA,NA,3.947,NA,NA,NA,3568.905,NA,NA,NA,114.556,NA,462.816,NA,88.221,NA
"EC1","K034","Water",2022-02-11,NA,NA,1141.358,"above calibration",107.773,NA,NA,NA,NA,NA,NA,NA,1.16,"below detect",444.122,NA,NA,NA,16.44,NA,53.359,NA,43.761,NA
"EC1","K025","Water",2022-02-11,NA,NA,587.439,NA,44.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,222.924,NA,NA,NA,5.178,NA,24.206,NA,20.186,NA
"EC1","K018","Water",2022-02-14,1.129,NA,16085.256,"above calibration",1590.387,NA,0.162,NA,NA,NA,12.79,NA,5.475,"below detect",6626.525,NA,NA,NA,213.114,NA,727.236,NA,338.533,NA
"EC1","K043","Water",2022-02-14,0.29,NA,14658.099,"above calibration",1473.285,NA,NA,NA,NA,NA,13.599,NA,8.348,"below detect",5982.367,NA,NA,NA,186.709,NA,653.329,NA,276.407,NA
"EC1","K057","Water",2022-02-14,0.086,NA,14.773,"below detect",10.638,NA,NA,NA,NA,NA,0.065,NA,NA,NA,6.836,NA,NA,NA,NA,NA,1.704,NA,2.855,"below detect"
"EC1","K024","Water",2022-02-14,NA,NA,9561.042,"above calibration",954.029,NA,1.346,NA,NA,NA,8.355,NA,5.779,"below detect",3914.879,NA,NA,NA,134.47,NA,436.921,NA,195.389,NA
"EC1","K030","Water",2022-02-14,NA,NA,3525.352,"above calibration",329.672,NA,NA,NA,NA,NA,5.55,NA,1.644,"below detect",1445.909,NA,NA,NA,42.964,NA,144.689,NA,79.132,NA
"EC1","K052","Water",2022-02-14,NA,NA,9984.044,"above calibration",1089.259,NA,0.866,NA,NA,NA,8.332,NA,4.531,"below detect",4149.942,"above calibration",NA,NA,136.996,NA,457.803,NA,203.345,NA
"EC1","K016","Water",2022-02-14,NA,NA,15575.793,"above calibration",1510.89,NA,0.088,NA,NA,NA,13.181,NA,5.272,"below detect",6402.352,NA,NA,NA,202.304,NA,702.835,NA,309.39,NA
"EC1","K014","Water",2022-02-14,NA,NA,41.705,NA,21.622,NA,0.812,NA,NA,NA,0.169,NA,2.832,"below detect",11.901,NA,NA,NA,0.615,NA,5.19,NA,18.994,NA
"EC1","K001","Water",2022-02-14,NA,NA,8.917,"below detect",15.177,NA,3.32,NA,NA,NA,NA,NA,7.932,"below detect",9.051,NA,NA,NA,NA,NA,19.972,NA,77.136,NA
"EC1","K058","Water",2022-02-16,NA,NA,10358.244,"above calibration",1037.598,NA,NA,NA,NA,NA,12.804,NA,6.605,"below detect",4100.808,NA,NA,NA,128.543,NA,505.798,NA,97.583,NA
"EC1","K046","Water",2022-02-16,NA,NA,11386.028,"above calibration",1039.282,NA,NA,NA,NA,NA,13.03,NA,6.71,"below detect",4498.95,NA,NA,NA,142.097,NA,555.631,NA,110.382,NA
"EC1","K015","Water",2022-02-16,NA,NA,12583,"above calibration",1264.167,NA,NA,NA,NA,NA,15.648,NA,7.641,"below detect",4988.092,NA,NA,NA,161.376,NA,623.66,NA,123.48,NA
"EC1","K056","Water",2022-02-16,NA,NA,12387.34,"above calibration",1191.259,NA,NA,NA,NA,NA,15.242,NA,5.439,"below detect",4956.006,NA,NA,NA,151.542,NA,606.747,NA,114.51,NA
"EC1","K026","Water",2022-02-16,NA,NA,22638.009,"above calibration",2434.49,NA,NA,NA,NA,NA,23.563,NA,10.106,"below detect",9223.185,NA,NA,NA,278.578,NA,1055.353,NA,201.559,NA
"EC1","K040","Water",2022-02-16,NA,NA,24652.646,"above calibration",2550.757,NA,NA,NA,NA,NA,29.501,NA,12.086,"below detect",9818.768,NA,NA,NA,317.245,NA,1240.189,NA,240.008,NA
"EC1","K041","Water",2022-02-16,NA,NA,25417.512,"above calibration",2603.322,NA,0.439,NA,NA,NA,28.361,NA,11.619,"below detect",NA,NA,NA,NA,326.005,NA,1289.902,NA,251.183,NA
"EC1","K037","Water",2022-02-18,NA,NA,327.625,NA,24.73,NA,NA,NA,NA,NA,0.6,NA,0.096,"below detect",102.983,NA,NA,NA,5.498,NA,12.107,NA,11.462,NA
"EC1","K060","Water",2022-02-18,NA,NA,5166.199,"above calibration",502.613,NA,0.254,NA,NA,NA,7.638,NA,9.01,"below detect",2030.233,NA,NA,NA,67.293,NA,255.693,NA,49.963,NA
"EC1","K061","Water",2022-02-18,NA,NA,8191.245,"above calibration",730.141,NA,32.424,NA,NA,NA,12.27,NA,70.974,NA,3211.914,NA,NA,NA,126.235,NA,348.724,NA,179.078,NA
