EX	EM	
800	810.143	0.0028907185253152
800	812.528	-0.00130926760915836
800	814.913	-0.00575953482259601
800	817.298	0.00209541187227996
800	819.684	-0.0041896755061495
800	822.069	0.00262006491393247
800	824.455	0.00549946840134496
800	826.841	0.00418869488636534
797	247.111	0
797	249.35	0
797	251.589	0
797	253.829	0
797	256.071	0
797	258.313	0
797	260.556	0
797	262.8	0
797	265.045	0
797	267.291	0
797	269.538	0
797	271.785	0
797	274.034	0
797	276.284	0
797	278.534	0
797	280.785	0
797	283.038	0
797	285.291	0
797	287.545	0
797	289.8	0
797	292.056	0
797	294.313	0
797	296.571	0
797	298.83	0
797	301.089	0
797	303.35	0
797	305.611	0
797	307.873	0
797	310.137	0
797	312.401	0
797	314.665	0
797	316.931	0
797	319.198	0
797	321.465	0
797	323.734	0
797	326.003	0
797	328.273	0
797	330.544	0
797	332.816	0
797	335.089	0
797	337.363	0
797	339.637	0
797	341.912	0
797	344.189	0
797	346.466	0
797	348.743	0
797	351.022	0
797	353.302	0
797	355.582	0
797	357.863	0
797	360.145	0
797	362.428	0
797	364.712	0
797	366.996	0
797	369.282	0
797	371.568	0
797	373.855	0
797	376.143	0
797	378.431	0
797	380.721	0
797	383.011	0
797	385.302	0
797	387.594	0
797	389.886	0
797	392.18	0
797	394.474	0
797	396.769	0
797	399.064	0
797	401.361	0
797	403.658	0
797	405.956	0
797	408.255	0
797	410.555	0
797	412.855	0
797	415.157	0
797	417.459	0
797	419.761	0
797	422.065	0
797	424.369	0
797	426.674	0
797	428.98	0
797	431.286	0
797	433.593	0
797	435.901	0
797	438.21	0
797	440.519	0
797	442.83	0
797	445.141	0
797	447.452	0
797	449.764	0
797	452.078	0
797	454.391	0
797	456.706	0
797	459.021	0
797	461.337	0
797	463.654	0
797	465.971	0
797	468.289	0
797	470.608	0
797	472.927	0
797	475.247	0
797	477.568	0
797	479.889	0
797	482.212	0
797	484.534	0
797	486.858	0
797	489.182	0
797	491.507	0
797	493.833	0
797	496.159	0
797	498.486	0
797	500.813	0
797	503.141	0
797	505.47	0
797	507.8	0
797	510.13	0
797	512.461	0
797	514.792	0
797	517.124	0
797	519.457	0
797	521.79	0
797	524.124	0
797	526.458	0
797	528.794	0
797	531.129	0
797	533.466	0
797	535.803	0
797	538.14	0
797	540.479	0
797	542.817	0
797	545.157	0
797	547.497	0
797	549.838	0
797	552.179	0
797	554.521	0
797	556.863	0
797	559.206	0
797	561.549	0
797	563.893	0
797	566.238	0
797	568.583	0
797	570.929	0
797	573.276	0
797	575.622	0
797	577.97	0
797	580.318	0
797	582.666	0
797	585.016	0
797	587.365	0
797	589.715	0
797	592.066	0
797	594.417	0
797	596.769	0
797	599.121	0
797	601.474	0
797	603.828	0
797	606.181	0
797	608.536	0
797	610.891	0
797	613.246	0
797	615.602	0
797	617.958	0
797	620.315	0
797	622.672	0
797	625.03	0
797	627.388	0
797	629.747	0
797	632.106	0
797	634.466	0
797	636.826	0
797	639.187	0
797	641.548	0
797	643.91	0
797	646.272	0
797	648.634	0
797	650.997	0
797	653.361	0
797	655.724	0
797	658.089	0
797	660.453	0
797	662.818	0
797	665.184	0
797	667.55	0
797	669.916	0
797	672.283	0
797	674.65	0
797	677.018	0
797	679.386	0
797	681.754	0
797	684.123	0
797	686.492	0
797	688.862	0
797	691.232	0
797	693.602	0
797	695.973	0
797	698.344	0
797	700.716	0
797	703.088	0
797	705.46	0
797	707.832	0
797	710.205	0
797	712.579	0
797	714.952	0
797	717.326	0
797	719.701	0
797	722.075	0
797	724.45	0
797	726.826	0
797	729.201	0
797	731.577	0
797	733.954	0
797	736.33	0
797	738.707	0
797	741.085	0
797	743.462	0
797	745.84	0
797	748.218	0
797	750.597	0
797	752.975	0
797	755.355	0
797	757.734	0
797	760.113	0
797	762.493	0
797	764.874	0
797	767.254	0
797	769.635	0
797	772.016	0
797	774.397	0
797	776.778	0
797	779.16	0
797	781.542	0
797	783.924	0
797	786.307	0
797	788.689	0
797	791.072	0
797	793.455	0
797	795.839	0
797	798.222	0
797	800.606	0
797	802.99	0
797	805.374	0
797	807.759	-0.00349326709884802
797	810.143	0.0050598374335114
797	812.528	-0.00640214834771968
797	814.913	-0.00667111276205175
797	817.298	0.00426736640606631
797	819.684	-0.00854449886051539
797	822.069	-0.00374401120320837
797	824.455	0.007471581575452
797	826.841	-0.0120056438230873
794	247.111	0
794	249.35	0
794	251.589	0
794	253.829	0
794	256.071	0
794	258.313	0
794	260.556	0
794	262.8	0
794	265.045	0
794	267.291	0
794	269.538	0
794	271.785	0
794	274.034	0
794	276.284	0
794	278.534	0
794	280.785	0
794	283.038	0
794	285.291	0
794	287.545	0
794	289.8	0
794	292.056	0
794	294.313	0
794	296.571	0
794	298.83	0
794	301.089	0
794	303.35	0
794	305.611	0
794	307.873	0
794	310.137	0
794	312.401	0
794	314.665	0
794	316.931	0
794	319.198	0
794	321.465	0
794	323.734	0
794	326.003	0
794	328.273	0
794	330.544	0
794	332.816	0
794	335.089	0
794	337.363	0
794	339.637	0
794	341.912	0
794	344.189	0
794	346.466	0
794	348.743	0
794	351.022	0
794	353.302	0
794	355.582	0
794	357.863	0
794	360.145	0
794	362.428	0
794	364.712	0
794	366.996	0
794	369.282	0
794	371.568	0
794	373.855	0
794	376.143	0
794	378.431	0
794	380.721	0
794	383.011	0
794	385.302	0
794	387.594	0
794	389.886	0
794	392.18	0
794	394.474	0
794	396.769	0
794	399.064	0
794	401.361	0
794	403.658	0
794	405.956	0
794	408.255	0
794	410.555	0
794	412.855	0
794	415.157	0
794	417.459	0
794	419.761	0
794	422.065	0
794	424.369	0
794	426.674	0
794	428.98	0
794	431.286	0
794	433.593	0
794	435.901	0
794	438.21	0
794	440.519	0
794	442.83	0
794	445.141	0
794	447.452	0
794	449.764	0
794	452.078	0
794	454.391	0
794	456.706	0
794	459.021	0
794	461.337	0
794	463.654	0
794	465.971	0
794	468.289	0
794	470.608	0
794	472.927	0
794	475.247	0
794	477.568	0
794	479.889	0
794	482.212	0
794	484.534	0
794	486.858	0
794	489.182	0
794	491.507	0
794	493.833	0
794	496.159	0
794	498.486	0
794	500.813	0
794	503.141	0
794	505.47	0
794	507.8	0
794	510.13	0
794	512.461	0
794	514.792	0
794	517.124	0
794	519.457	0
794	521.79	0
794	524.124	0
794	526.458	0
794	528.794	0
794	531.129	0
794	533.466	0
794	535.803	0
794	538.14	0
794	540.479	0
794	542.817	0
794	545.157	0
794	547.497	0
794	549.838	0
794	552.179	0
794	554.521	0
794	556.863	0
794	559.206	0
794	561.549	0
794	563.893	0
794	566.238	0
794	568.583	0
794	570.929	0
794	573.276	0
794	575.622	0
794	577.97	0
794	580.318	0
794	582.666	0
794	585.016	0
794	587.365	0
794	589.715	0
794	592.066	0
794	594.417	0
794	596.769	0
794	599.121	0
794	601.474	0
794	603.828	0
794	606.181	0
794	608.536	0
794	610.891	0
794	613.246	0
794	615.602	0
794	617.958	0
794	620.315	0
794	622.672	0
794	625.03	0
794	627.388	0
794	629.747	0
794	632.106	0
794	634.466	0
794	636.826	0
794	639.187	0
794	641.548	0
794	643.91	0
794	646.272	0
794	648.634	0
794	650.997	0
794	653.361	0
794	655.724	0
794	658.089	0
794	660.453	0
794	662.818	0
794	665.184	0
794	667.55	0
794	669.916	0
794	672.283	0
794	674.65	0
794	677.018	0
794	679.386	0
794	681.754	0
794	684.123	0
794	686.492	0
794	688.862	0
794	691.232	0
794	693.602	0
794	695.973	0
794	698.344	0
794	700.716	0
794	703.088	0
794	705.46	0
794	707.832	0
794	710.205	0
794	712.579	0
794	714.952	0
794	717.326	0
794	719.701	0
794	722.075	0
794	724.45	0
794	726.826	0
794	729.201	0
794	731.577	0
794	733.954	0
794	736.33	0
794	738.707	0
794	741.085	0
794	743.462	0
794	745.84	0
794	748.218	0
794	750.597	0
794	752.975	0
794	755.355	0
794	757.734	0
794	760.113	0
794	762.493	0
794	764.874	0
794	767.254	0
794	769.635	0
794	772.016	0
794	774.397	0
794	776.778	0
794	779.16	0
794	781.542	0
794	783.924	0
794	786.307	0
794	788.689	0
794	791.072	0
794	793.455	0
794	795.839	0
794	798.222	0
794	800.606	0
794	802.99	0
794	805.374	0.00193700932591795
794	807.759	-0.00558715417067234
794	810.143	0.0038840676091824
794	812.528	-0.00121425996262738
794	814.913	-0.00218873172509882
794	817.298	7.26547245911435E-4
794	819.684	-0.0177220605450337
794	822.069	0.008494474901625
794	824.455	0.0131112236949311
794	826.841	-0.00412421350586798
791	247.111	0
791	249.35	0
791	251.589	0
791	253.829	0
791	256.071	0
791	258.313	0
791	260.556	0
791	262.8	0
791	265.045	0
791	267.291	0
791	269.538	0
791	271.785	0
791	274.034	0
791	276.284	0
791	278.534	0
791	280.785	0
791	283.038	0
791	285.291	0
791	287.545	0
791	289.8	0
791	292.056	0
791	294.313	0
791	296.571	0
791	298.83	0
791	301.089	0
791	303.35	0
791	305.611	0
791	307.873	0
791	310.137	0
791	312.401	0
791	314.665	0
791	316.931	0
791	319.198	0
791	321.465	0
791	323.734	0
791	326.003	0
791	328.273	0
791	330.544	0
791	332.816	0
791	335.089	0
791	337.363	0
791	339.637	0
791	341.912	0
791	344.189	0
791	346.466	0
791	348.743	0
791	351.022	0
791	353.302	0
791	355.582	0
791	357.863	0
791	360.145	0
791	362.428	0
791	364.712	0
791	366.996	0
791	369.282	0
791	371.568	0
791	373.855	0
791	376.143	0
791	378.431	0
791	380.721	0
791	383.011	0
791	385.302	0
791	387.594	0
791	389.886	0
791	392.18	0
791	394.474	0
791	396.769	0
791	399.064	0
791	401.361	0
791	403.658	0
791	405.956	0
791	408.255	0
791	410.555	0
791	412.855	0
791	415.157	0
791	417.459	0
791	419.761	0
791	422.065	0
791	424.369	0
791	426.674	0
791	428.98	0
791	431.286	0
791	433.593	0
791	435.901	0
791	438.21	0
791	440.519	0
791	442.83	0
791	445.141	0
791	447.452	0
791	449.764	0
791	452.078	0
791	454.391	0
791	456.706	0
791	459.021	0
791	461.337	0
791	463.654	0
791	465.971	0
791	468.289	0
791	470.608	0
791	472.927	0
791	475.247	0
791	477.568	0
791	479.889	0
791	482.212	0
791	484.534	0
791	486.858	0
791	489.182	0
791	491.507	0
791	493.833	0
791	496.159	0
791	498.486	0
791	500.813	0
791	503.141	0
791	505.47	0
791	507.8	0
791	510.13	0
791	512.461	0
791	514.792	0
791	517.124	0
791	519.457	0
791	521.79	0
791	524.124	0
791	526.458	0
791	528.794	0
791	531.129	0
791	533.466	0
791	535.803	0
791	538.14	0
791	540.479	0
791	542.817	0
791	545.157	0
791	547.497	0
791	549.838	0
791	552.179	0
791	554.521	0
791	556.863	0
791	559.206	0
791	561.549	0
791	563.893	0
791	566.238	0
791	568.583	0
791	570.929	0
791	573.276	0
791	575.622	0
791	577.97	0
791	580.318	0
791	582.666	0
791	585.016	0
791	587.365	0
791	589.715	0
791	592.066	0
791	594.417	0
791	596.769	0
791	599.121	0
791	601.474	0
791	603.828	0
791	606.181	0
791	608.536	0
791	610.891	0
791	613.246	0
791	615.602	0
791	617.958	0
791	620.315	0
791	622.672	0
791	625.03	0
791	627.388	0
791	629.747	0
791	632.106	0
791	634.466	0
791	636.826	0
791	639.187	0
791	641.548	0
791	643.91	0
791	646.272	0
791	648.634	0
791	650.997	0
791	653.361	0
791	655.724	0
791	658.089	0
791	660.453	0
791	662.818	0
791	665.184	0
791	667.55	0
791	669.916	0
791	672.283	0
791	674.65	0
791	677.018	0
791	679.386	0
791	681.754	0
791	684.123	0
791	686.492	0
791	688.862	0
791	691.232	0
791	693.602	0
791	695.973	0
791	698.344	0
791	700.716	0
791	703.088	0
791	705.46	0
791	707.832	0
791	710.205	0
791	712.579	0
791	714.952	0
791	717.326	0
791	719.701	0
791	722.075	0
791	724.45	0
791	726.826	0
791	729.201	0
791	731.577	0
791	733.954	0
791	736.33	0
791	738.707	0
791	741.085	0
791	743.462	0
791	745.84	0
791	748.218	0
791	750.597	0
791	752.975	0
791	755.355	0
791	757.734	0
791	760.113	0
791	762.493	0
791	764.874	0
791	767.254	0
791	769.635	0
791	772.016	0
791	774.397	0
791	776.778	0
791	779.16	0
791	781.542	0
791	783.924	0
791	786.307	0
791	788.689	0
791	791.072	0
791	793.455	0
791	795.839	0
791	798.222	0
791	800.606	0
791	802.99	-7.12943808170665E-4
791	805.374	0.00687168537285326
791	807.759	-0.00260806038366987
791	810.143	0.00378997369252034
791	812.528	-9.48788536184921E-4
791	814.913	7.11092765986867E-4
791	817.298	-0.0028477834076576
791	819.684	-0.0116158662116833
791	822.069	-0.00474308151230824
791	824.455	-0.00284693633676401
791	826.841	-0.00307995867983859
788	247.111	0
788	249.35	0
788	251.589	0
788	253.829	0
788	256.071	0
788	258.313	0
788	260.556	0
788	262.8	0
788	265.045	0
788	267.291	0
788	269.538	0
788	271.785	0
788	274.034	0
788	276.284	0
788	278.534	0
788	280.785	0
788	283.038	0
788	285.291	0
788	287.545	0
788	289.8	0
788	292.056	0
788	294.313	0
788	296.571	0
788	298.83	0
788	301.089	0
788	303.35	0
788	305.611	0
788	307.873	0
788	310.137	0
788	312.401	0
788	314.665	0
788	316.931	0
788	319.198	0
788	321.465	0
788	323.734	0
788	326.003	0
788	328.273	0
788	330.544	0
788	332.816	0
788	335.089	0
788	337.363	0
788	339.637	0
788	341.912	0
788	344.189	0
788	346.466	0
788	348.743	0
788	351.022	0
788	353.302	0
788	355.582	0
788	357.863	0
788	360.145	0
788	362.428	0
788	364.712	0
788	366.996	0
788	369.282	0
788	371.568	0
788	373.855	0
788	376.143	0
788	378.431	0
788	380.721	0
788	383.011	0
788	385.302	0
788	387.594	0
788	389.886	0
788	392.18	0
788	394.474	0
788	396.769	0
788	399.064	0
788	401.361	0
788	403.658	0
788	405.956	0
788	408.255	0
788	410.555	0
788	412.855	0
788	415.157	0
788	417.459	0
788	419.761	0
788	422.065	0
788	424.369	0
788	426.674	0
788	428.98	0
788	431.286	0
788	433.593	0
788	435.901	0
788	438.21	0
788	440.519	0
788	442.83	0
788	445.141	0
788	447.452	0
788	449.764	0
788	452.078	0
788	454.391	0
788	456.706	0
788	459.021	0
788	461.337	0
788	463.654	0
788	465.971	0
788	468.289	0
788	470.608	0
788	472.927	0
788	475.247	0
788	477.568	0
788	479.889	0
788	482.212	0
788	484.534	0
788	486.858	0
788	489.182	0
788	491.507	0
788	493.833	0
788	496.159	0
788	498.486	0
788	500.813	0
788	503.141	0
788	505.47	0
788	507.8	0
788	510.13	0
788	512.461	0
788	514.792	0
788	517.124	0
788	519.457	0
788	521.79	0
788	524.124	0
788	526.458	0
788	528.794	0
788	531.129	0
788	533.466	0
788	535.803	0
788	538.14	0
788	540.479	0
788	542.817	0
788	545.157	0
788	547.497	0
788	549.838	0
788	552.179	0
788	554.521	0
788	556.863	0
788	559.206	0
788	561.549	0
788	563.893	0
788	566.238	0
788	568.583	0
788	570.929	0
788	573.276	0
788	575.622	0
788	577.97	0
788	580.318	0
788	582.666	0
788	585.016	0
788	587.365	0
788	589.715	0
788	592.066	0
788	594.417	0
788	596.769	0
788	599.121	0
788	601.474	0
788	603.828	0
788	606.181	0
788	608.536	0
788	610.891	0
788	613.246	0
788	615.602	0
788	617.958	0
788	620.315	0
788	622.672	0
788	625.03	0
788	627.388	0
788	629.747	0
788	632.106	0
788	634.466	0
788	636.826	0
788	639.187	0
788	641.548	0
788	643.91	0
788	646.272	0
788	648.634	0
788	650.997	0
788	653.361	0
788	655.724	0
788	658.089	0
788	660.453	0
788	662.818	0
788	665.184	0
788	667.55	0
788	669.916	0
788	672.283	0
788	674.65	0
788	677.018	0
788	679.386	0
788	681.754	0
788	684.123	0
788	686.492	0
788	688.862	0
788	691.232	0
788	693.602	0
788	695.973	0
788	698.344	0
788	700.716	0
788	703.088	0
788	705.46	0
788	707.832	0
788	710.205	0
788	712.579	0
788	714.952	0
788	717.326	0
788	719.701	0
788	722.075	0
788	724.45	0
788	726.826	0
788	729.201	0
788	731.577	0
788	733.954	0
788	736.33	0
788	738.707	0
788	741.085	0
788	743.462	0
788	745.84	0
788	748.218	0
788	750.597	0
788	752.975	0
788	755.355	0
788	757.734	0
788	760.113	0
788	762.493	0
788	764.874	0
788	767.254	0
788	769.635	0
788	772.016	0
788	774.397	0
788	776.778	0
788	779.16	0
788	781.542	0
788	783.924	0
788	786.307	0
788	788.689	0
788	791.072	0
788	793.455	0
788	795.839	0
788	798.222	0.00685591217504513
788	800.606	-0.005458968553657
788	802.99	-0.00130855465733317
788	805.374	-5.18741518922464E-4
788	807.759	7.7856622654993E-4
788	810.143	0.00388546090364948
788	812.528	0.00337000922632401
788	814.913	-0.003117636162813
788	817.298	-0.00648775978910134
788	819.684	-0.0116687890432052
788	822.069	0.00881754243884846
788	824.455	0.00388632476961157
788	826.841	1.48319791063368E-6
785	247.111	0
785	249.35	0
785	251.589	0
785	253.829	0
785	256.071	0
785	258.313	0
785	260.556	0
785	262.8	0
785	265.045	0
785	267.291	0
785	269.538	0
785	271.785	0
785	274.034	0
785	276.284	0
785	278.534	0
785	280.785	0
785	283.038	0
785	285.291	0
785	287.545	0
785	289.8	0
785	292.056	0
785	294.313	0
785	296.571	0
785	298.83	0
785	301.089	0
785	303.35	0
785	305.611	0
785	307.873	0
785	310.137	0
785	312.401	0
785	314.665	0
785	316.931	0
785	319.198	0
785	321.465	0
785	323.734	0
785	326.003	0
785	328.273	0
785	330.544	0
785	332.816	0
785	335.089	0
785	337.363	0
785	339.637	0
785	341.912	0
785	344.189	0
785	346.466	0
785	348.743	0
785	351.022	0
785	353.302	0
785	355.582	0
785	357.863	0
785	360.145	0
785	362.428	0
785	364.712	0
785	366.996	0
785	369.282	0
785	371.568	0
785	373.855	0
785	376.143	0
785	378.431	0
785	380.721	0
785	383.011	0
785	385.302	0
785	387.594	0
785	389.886	0
785	392.18	0
785	394.474	0
785	396.769	0
785	399.064	0
785	401.361	0
785	403.658	0
785	405.956	0
785	408.255	0
785	410.555	0
785	412.855	0
785	415.157	0
785	417.459	0
785	419.761	0
785	422.065	0
785	424.369	0
785	426.674	0
785	428.98	0
785	431.286	0
785	433.593	0
785	435.901	0
785	438.21	0
785	440.519	0
785	442.83	0
785	445.141	0
785	447.452	0
785	449.764	0
785	452.078	0
785	454.391	0
785	456.706	0
785	459.021	0
785	461.337	0
785	463.654	0
785	465.971	0
785	468.289	0
785	470.608	0
785	472.927	0
785	475.247	0
785	477.568	0
785	479.889	0
785	482.212	0
785	484.534	0
785	486.858	0
785	489.182	0
785	491.507	0
785	493.833	0
785	496.159	0
785	498.486	0
785	500.813	0
785	503.141	0
785	505.47	0
785	507.8	0
785	510.13	0
785	512.461	0
785	514.792	0
785	517.124	0
785	519.457	0
785	521.79	0
785	524.124	0
785	526.458	0
785	528.794	0
785	531.129	0
785	533.466	0
785	535.803	0
785	538.14	0
785	540.479	0
785	542.817	0
785	545.157	0
785	547.497	0
785	549.838	0
785	552.179	0
785	554.521	0
785	556.863	0
785	559.206	0
785	561.549	0
785	563.893	0
785	566.238	0
785	568.583	0
785	570.929	0
785	573.276	0
785	575.622	0
785	577.97	0
785	580.318	0
785	582.666	0
785	585.016	0
785	587.365	0
785	589.715	0
785	592.066	0
785	594.417	0
785	596.769	0
785	599.121	0
785	601.474	0
785	603.828	0
785	606.181	0
785	608.536	0
785	610.891	0
785	613.246	0
785	615.602	0
785	617.958	0
785	620.315	0
785	622.672	0
785	625.03	0
785	627.388	0
785	629.747	0
785	632.106	0
785	634.466	0
785	636.826	0
785	639.187	0
785	641.548	0
785	643.91	0
785	646.272	0
785	648.634	0
785	650.997	0
785	653.361	0
785	655.724	0
785	658.089	0
785	660.453	0
785	662.818	0
785	665.184	0
785	667.55	0
785	669.916	0
785	672.283	0
785	674.65	0
785	677.018	0
785	679.386	0
785	681.754	0
785	684.123	0
785	686.492	0
785	688.862	0
785	691.232	0
785	693.602	0
785	695.973	0
785	698.344	0
785	700.716	0
785	703.088	0
785	705.46	0
785	707.832	0
785	710.205	0
785	712.579	0
785	714.952	0
785	717.326	0
785	719.701	0
785	722.075	0
785	724.45	0
785	726.826	0
785	729.201	0
785	731.577	0
785	733.954	0
785	736.33	0
785	738.707	0
785	741.085	0
785	743.462	0
785	745.84	0
785	748.218	0
785	750.597	0
785	752.975	0
785	755.355	0
785	757.734	0
785	760.113	0
785	762.493	0
785	764.874	0
785	767.254	0
785	769.635	0
785	772.016	0
785	774.397	0
785	776.778	0
785	779.16	0
785	781.542	0
785	783.924	0
785	786.307	0
785	788.689	0
785	791.072	0
785	793.455	0
785	795.839	0.0137514211175137
785	798.222	0.00201742878176913
785	800.606	-0.00730703098046052
785	802.99	0.00495681698084765
785	805.374	-7.86080353607621E-4
785	807.759	-0.00443656608092629
785	810.143	0.00469196645018436
785	812.528	-0.00130613392732745
785	814.913	0.0020845264228429
785	817.298	0.00469353700364106
785	819.684	-0.00547726395997927
785	822.069	-0.0010425633596444
785	824.455	0.00704354108951546
785	826.841	0.00522243687300603
782	247.111	0
782	249.35	0
782	251.589	0
782	253.829	0
782	256.071	0
782	258.313	0
782	260.556	0
782	262.8	0
782	265.045	0
782	267.291	0
782	269.538	0
782	271.785	0
782	274.034	0
782	276.284	0
782	278.534	0
782	280.785	0
782	283.038	0
782	285.291	0
782	287.545	0
782	289.8	0
782	292.056	0
782	294.313	0
782	296.571	0
782	298.83	0
782	301.089	0
782	303.35	0
782	305.611	0
782	307.873	0
782	310.137	0
782	312.401	0
782	314.665	0
782	316.931	0
782	319.198	0
782	321.465	0
782	323.734	0
782	326.003	0
782	328.273	0
782	330.544	0
782	332.816	0
782	335.089	0
782	337.363	0
782	339.637	0
782	341.912	0
782	344.189	0
782	346.466	0
782	348.743	0
782	351.022	0
782	353.302	0
782	355.582	0
782	357.863	0
782	360.145	0
782	362.428	0
782	364.712	0
782	366.996	0
782	369.282	0
782	371.568	0
782	373.855	0
782	376.143	0
782	378.431	0
782	380.721	0
782	383.011	0
782	385.302	0
782	387.594	0
782	389.886	0
782	392.18	0
782	394.474	0
782	396.769	0
782	399.064	0
782	401.361	0
782	403.658	0
782	405.956	0
782	408.255	0
782	410.555	0
782	412.855	0
782	415.157	0
782	417.459	0
782	419.761	0
782	422.065	0
782	424.369	0
782	426.674	0
782	428.98	0
782	431.286	0
782	433.593	0
782	435.901	0
782	438.21	0
782	440.519	0
782	442.83	0
782	445.141	0
782	447.452	0
782	449.764	0
782	452.078	0
782	454.391	0
782	456.706	0
782	459.021	0
782	461.337	0
782	463.654	0
782	465.971	0
782	468.289	0
782	470.608	0
782	472.927	0
782	475.247	0
782	477.568	0
782	479.889	0
782	482.212	0
782	484.534	0
782	486.858	0
782	489.182	0
782	491.507	0
782	493.833	0
782	496.159	0
782	498.486	0
782	500.813	0
782	503.141	0
782	505.47	0
782	507.8	0
782	510.13	0
782	512.461	0
782	514.792	0
782	517.124	0
782	519.457	0
782	521.79	0
782	524.124	0
782	526.458	0
782	528.794	0
782	531.129	0
782	533.466	0
782	535.803	0
782	538.14	0
782	540.479	0
782	542.817	0
782	545.157	0
782	547.497	0
782	549.838	0
782	552.179	0
782	554.521	0
782	556.863	0
782	559.206	0
782	561.549	0
782	563.893	0
782	566.238	0
782	568.583	0
782	570.929	0
782	573.276	0
782	575.622	0
782	577.97	0
782	580.318	0
782	582.666	0
782	585.016	0
782	587.365	0
782	589.715	0
782	592.066	0
782	594.417	0
782	596.769	0
782	599.121	0
782	601.474	0
782	603.828	0
782	606.181	0
782	608.536	0
782	610.891	0
782	613.246	0
782	615.602	0
782	617.958	0
782	620.315	0
782	622.672	0
782	625.03	0
782	627.388	0
782	629.747	0
782	632.106	0
782	634.466	0
782	636.826	0
782	639.187	0
782	641.548	0
782	643.91	0
782	646.272	0
782	648.634	0
782	650.997	0
782	653.361	0
782	655.724	0
782	658.089	0
782	660.453	0
782	662.818	0
782	665.184	0
